class_weight,fold,auroc,best_epoch
none,0,0.566456291857596,27
none,1,0.5571287892139585,9
none,2,0.5649231471569413,19
none,3,0.5649819975197328,15
none,4,0.5574368961005001,6
balanced,0,0.5648957966161439,20
balanced,1,0.565710874162848,5
balanced,2,0.567683824287893,7
balanced,3,0.5648348495714195,5
balanced,4,0.5636898022504379,2
