mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__scale_pos_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12697181701660157,0.014217615532250953,0.020447540283203124,0.0036317153222699974,0.01,2,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.540494310659297,0.5292778704475952,0.5471886294134001,0.5442799555184876,0.5345809007506255,0.539164333357881,0.006497349617200844,10
0.07053117752075196,0.0325120741417946,0.013086795806884766,0.006358312033128787,0.01,2,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.537904248720014,0.5291562413122046,0.5506660643128533,0.541731535538875,0.5349295709387454,0.5388775321645385,0.007185429699217665,11
0.06030187606811523,0.0019910460022802244,0.010431528091430664,0.003213907420007588,0.01,2,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5451177679637808,0.5390545361875637,0.5480666759336483,0.5400553702159208,0.5312077193957928,0.5407004139393413,0.005779464975619102,3
0.07252931594848633,0.00540636856942975,0.008552837371826171,0.0013206393077266033,0.01,2,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5445460563471562,0.5387904272078583,0.5468839773885645,0.5377930682976555,0.5285110277082754,0.539304911389902,0.006387020123917972,8
0.1814561367034912,0.008244200163807835,0.009317302703857422,0.0023536468517255343,0.01,2,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.5518949809738076,0.5409739597812993,0.5502050319710869,0.5345241404874432,0.5277777777777778,0.541075178198283,0.009167001256834935,1
0.17942957878112792,0.01214845786747609,0.009552335739135743,0.0023909783049511943,0.01,2,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.5486510383393977,0.5376737559077008,0.5545002780094523,0.5316131498470948,0.5238103512186081,0.5392497146644508,0.011136779435783945,9
0.059670448303222656,0.0046172095492472585,0.009165573120117187,0.001202836919372973,0.01,3,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5366231054819506,0.5302810212213882,0.552247243072931,0.5429350847928829,0.537685339634881,0.5399543588408067,0.007346004189255531,5
0.06718173027038574,0.003756732977787336,0.009726905822753906,0.0037764761314190713,0.01,3,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5348327454193632,0.532863034009823,0.5491821888610879,0.5406415068112316,0.5301663423223056,0.5375371634847622,0.006763637062021206,13
0.09819173812866211,0.006662265039682612,0.011737680435180664,0.003163423659951277,0.01,3,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5448006647594182,0.5369150217774071,0.5565505977203224,0.5377641089797054,0.5239227133722546,0.5399906213218216,0.010676738002156167,4
0.10179309844970703,0.011102970153727838,0.009881258010864258,0.0031482262022238627,0.01,3,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5429848438556046,0.5427682791214901,0.5554096005930867,0.5363833286998425,0.5276908998239274,0.5410473904187902,0.009089967849958372,2
