mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__scale_pos_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04777793884277344,0.005733905330732652,0.006950092315673828,0.0016651979911483006,0.01,2,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5458549913367986,0.5281007596961216,0.5917219778755164,0.6051099560175929,0.5643827367012378,0.5670340843254534,0.02839243379421696,47
0.05167522430419922,0.0053618483653371084,0.008054447174072266,0.002999655760760887,0.01,2,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5421671331467413,0.5301865920298547,0.5946594695455151,0.6053751832600294,0.564349280695885,0.567347531735605,0.029037980816858083,46
0.08677692413330078,0.009988708148665553,0.009131717681884765,0.0032670592088889956,0.01,2,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.540553112088498,0.5417219778755165,0.5980367852858857,0.6103438624550179,0.5684362663098026,0.5718184008029441,0.0285179475613331,43
0.07842373847961426,0.008938683452271739,0.007371282577514649,0.0019438349459165837,0.01,2,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5419139011062242,0.5454578168732507,0.5976862588298014,0.6183939757430361,0.5776085647373703,0.5762121034579366,0.029545194636043267,38
0.15244765281677247,0.005430192455314927,0.009614181518554688,0.0012448363986055718,0.01,2,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.548452618952419,0.5605131280821005,0.6134266293482606,0.6379861388777822,0.5884723987955839,0.5897701828112293,0.03301274438810729,22
0.15008745193481446,0.0024720138432970298,0.007870864868164063,0.00136215752878247,0.01,2,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.551359456217513,0.5651246168199386,0.6077768892443023,0.642213781154205,0.5890639009702241,0.5911077288812366,0.03209022907617363,21
0.05224294662475586,0.0029596801089845264,0.008261775970458985,0.0015314172623315857,0.01,3,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5480221244835399,0.5425643076102892,0.6079434892709583,0.6071704651472745,0.5676533957845433,0.5746707564593211,0.02811946944119849,40
0.057185697555541995,0.002144834816005755,0.0076296329498291016,0.0006866290832250569,0.01,3,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.543551912568306,0.5470611755297881,0.6064840730374517,0.612332400373184,0.5692044161927066,0.5757267955402873,0.02893255163797531,39
0.08428921699523925,0.0049873732686578,0.008432149887084961,0.00041485194500628556,0.01,3,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5483486605357857,0.5548194055711049,0.6097321071571372,0.6234186325469812,0.5800334560053529,0.5832704523632724,0.02950107557336451,31
0.08346700668334961,0.001960749732839483,0.008718299865722656,0.0012609202565494163,0.01,3,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5483886445421831,0.5599266959882713,0.609119019059043,0.6180127948820473,0.5854038139846103,0.5841701936912309,0.026971665881074542,29
