model_id,model_family,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_BestOfFamily_1_AutoML_1_20260824_112356,StackedEnsemble,0.5628133875481643,0.5690962158838035,0.3055144742907314,0.4778732209722839,0.4369208357174886,0.1908998166840686,6232,0.027421,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20260824_112356,StackedEnsemble,0.562729204732516,0.5691136994417318,0.3048300423391728,0.4825221570701031,0.4369299343178448,0.1909077675029961,10182,0.026659,StackedEnsemble
XGBoost_grid_1_AutoML_1_20260824_112356_model_4,XGBoost,0.5619404503056944,0.5691565591249583,0.3051279592487766,0.4856011279943729,0.4369478995782384,0.1909234669458343,671,0.001271,XGBoost
GBM_2_AutoML_1_20260824_112356,GBM,0.5582512734081063,0.5701022290580832,0.3006791124836894,0.4892226462439966,0.4373801447791449,0.1913013910470257,579,0.003277,GBM
GBM_5_AutoML_1_20260824_112356,GBM,0.5579014028494766,0.5701987645680884,0.2997669936935261,0.4995894044914215,0.4374304125512997,0.1913453658248002,545,0.002755,GBM
GBM_grid_1_AutoML_1_20260824_112356_model_1,GBM,0.55775998749572,0.570447003943099,0.2990513684656575,0.4938863576591483,0.4375698473109701,0.1914673712757457,660,0.002715,GBM
XGBoost_grid_1_AutoML_1_20260824_112356_model_6,XGBoost,0.5552914164697065,0.5716417510061566,0.2991905934608217,0.4900028644476318,0.4380618136253636,0.1918981525567429,3862,0.003167,XGBoost
GBM_3_AutoML_1_20260824_112356,GBM,0.553217939297898,0.5714831805679434,0.2964743567383965,0.4990611547228709,0.4380301567971174,0.1918704182637073,678,0.003684,GBM
GLM_1_AutoML_1_20260824_112356,GLM,0.553037788319224,0.5700691845950383,0.3011609052399437,0.4862880136511874,0.4373435774059111,0.1912694046982002,215,0.000631,GLM
XGBoost_3_AutoML_1_20260824_112356,XGBoost,0.5527805380740058,0.5726473736193337,0.2975511351560118,0.4997537382469587,0.4384565750502769,0.1922441682048191,816,0.001569,XGBoost
GBM_1_AutoML_1_20260824_112356,GBM,0.5521122656853454,0.5711788524043089,0.2981484280403167,0.4858378786106752,0.4378431987657904,0.1917066667054594,1089,0.004583,GBM
GBM_4_AutoML_1_20260824_112356,GBM,0.5451353470898513,0.5744726074976416,0.2918212611704533,0.4989396960082032,0.4393419468369604,0.1930213462504905,885,0.00437,GBM
GBM_grid_1_AutoML_1_20260824_112356_model_2,GBM,0.5395999289741099,0.5770772014568606,0.2911595418899098,0.4995922622398281,0.4403958984135199,0.1939485473394513,1445,0.004239,GBM
XRT_1_AutoML_1_20260824_112356,XRT,0.5346701190476988,0.5933897906529524,0.2838338074956382,0.5,0.4457413653799484,0.1986853648107807,4915,0.012486,DRF
XGBoost_grid_1_AutoML_1_20260824_112356_model_5,XGBoost,0.5339288180532411,0.5867083793127763,0.2841932239095218,0.4994288840053496,0.4442602974212805,0.1973672118648446,1511,0.002459,XGBoost
XGBoost_2_AutoML_1_20260824_112356,XGBoost,0.5336505586854061,0.590946605329331,0.2849664684231626,0.5,0.4460518567406713,0.1989622589018004,1780,0.003421,XGBoost
XGBoost_grid_1_AutoML_1_20260824_112356_model_2,XGBoost,0.5329030097820323,0.5878103875768462,0.2855333468811271,0.499979518000624,0.4443901218664093,0.197482580412442,1494,0.002556,XGBoost
XGBoost_grid_1_AutoML_1_20260824_112356_model_3,XGBoost,0.5322495867547716,0.5907584946655643,0.2847866509822759,0.4997508804985521,0.445755414052247,0.1986978891568901,1713,0.00293,XGBoost
GBM_grid_1_AutoML_1_20260824_112356_model_3,GBM,0.5321746999954763,0.5776543265040665,0.2842569619954734,0.4999823757490306,0.4406448566650224,0.1941678897053382,991,0.004974,GBM
DRF_1_AutoML_1_20260824_112356,DRF,0.5310324415618658,0.5955405599388495,0.2833594719105913,0.4996360839869866,0.447900386581668,0.2006147563000077,2970,0.010475,DRF
XGBoost_1_AutoML_1_20260824_112356,XGBoost,0.5302229160112151,0.5995184972144078,0.2836205104193599,0.5,0.4492750505890435,0.2018480710817876,2210,0.004842,XGBoost
XGBoost_grid_1_AutoML_1_20260824_112356_model_1,XGBoost,0.5272045836521488,0.6075406266349715,0.2786321143537405,0.4997480227501454,0.4515432669372291,0.2038913219163457,3022,0.00366,XGBoost
