target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.025489234924316408,0.002209573025845744,0.0037156105041503905,0.0006947665746410123,{},-26.00827499813528,-24.62658290104657,-25.301866861268454,-26.632809476613897,-25.726485268795763,-25.659203901171992,0.6735400685457529,1
log1p,0.012304210662841797,0.006725851351762883,0.0032059669494628905,0.000634486220465072,{},-21.860316620734427,-19.996443730154677,-20.63262553392403,-23.031879571195425,-22.038964358936937,-21.5120459629891,1.0751055820613844,1
