mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.027159976959228515,0.004566063497664669,0.007970619201660156,0.0020409898038960058,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.6068621670636218,0.5799965104272068,0.5744783679358135,0.5728118180379212,0.5721978088988187,0.5812693344726764,0.013088564077583027,6
0.028240108489990236,0.002489862023571098,0.007498788833618164,0.0009768549194474304,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.6063786212425473,0.5800359140605136,0.5745518349564194,0.5738985785347854,0.5718095527236966,0.5813349003035925,0.012813402570738446,3
0.0316556453704834,0.0021676986247895227,0.008486747741699219,0.0012768597409314097,1.0,,"{'model__C': 1.0, 'model__class_weight': None}",0.6068809770284925,0.5800359140605136,0.5743163512612325,0.572978213541545,0.5722612208305115,0.581294535344459,0.013082103486242289,5
0.03251495361328125,0.001207314363764569,0.007691192626953125,0.002301968900176245,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced'}",0.6063461902686322,0.580079695875299,0.5744681506680471,0.573964098791573,0.5718445833560384,0.5813405437919179,0.012795992231000985,2
0.03568763732910156,0.003363205010305187,0.008332633972167968,0.0020403661167505225,10.0,,"{'model__C': 10.0, 'model__class_weight': None}",0.6068829228869275,0.5800480756757318,0.5742928353274844,0.5729897282401389,0.5722617073670717,0.5812950538994709,0.013083614506867434,4
0.032132863998413086,0.002265154088737977,0.005574464797973633,0.0013457767774939912,10.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced'}",0.606348946901415,0.5800824525080819,0.5744637718390044,0.5739697750514431,0.5718596659894077,0.5813449224578704,0.012794594109435916,1
