mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__scale_pos_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07606015205383301,0.002900986559519979,0.018184852600097657,0.0022882061944330748,0.01,2,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5533036632543635,0.5454054687128286,0.5518103994114785,0.6021038383129835,0.5681459410756406,0.564153862153459,0.020384933307944254,44
0.062492895126342776,0.017303453352579608,0.014490747451782226,0.005632369399509601,0.01,2,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5481074344775589,0.5487991669930131,0.5533329429375574,0.603742409960762,0.567888641458019,0.5643741191653822,0.02093468855986904,43
0.06716103553771972,0.0045200853598881645,0.008037137985229491,0.0026615531518256693,0.01,2,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5516566810747108,0.5597259787649098,0.5630309230054131,0.609338579685365,0.5712298738590913,0.570996407277898,0.02017262104806554,37
0.07132048606872558,0.004085839405440827,0.007091712951660156,0.0009667538814658762,0.01,2,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5511680763614137,0.5587341294967189,0.5661299944734598,0.6102903030170176,0.5703920477020672,0.5713429102101355,0.020547424696749996,35
0.13776116371154784,0.004807449454560278,0.009204483032226563,0.00048101735315420047,0.01,2,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.5524975569764334,0.5652333041756488,0.5665078853846801,0.6133838605259505,0.5728679842360491,0.5740981182597523,0.020725171105302777,32
0.13773775100708008,0.0026777516818751864,0.00917801856994629,0.0013185167953347252,0.01,2,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.5530026315115271,0.5634380935998272,0.5692327259019057,0.6147447700884865,0.5736618588569671,0.5748160159917427,0.021128613163553467,30
0.05019707679748535,0.0034772255811330783,0.006827116012573242,0.0006973237157849228,0.01,3,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5513464994308761,0.5602768028049936,0.5657676583939362,0.6055937949830845,0.5734988719105734,0.5712967255046928,0.018607306217814302,36
0.04952239990234375,0.004775257879253461,0.006285762786865235,0.0011118304418609338,0.01,3,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5550952138697859,0.5621717473016942,0.568804510535196,0.605537166531489,0.5697446782015032,0.5722706632879337,0.01744728758534195,34
0.08269872665405273,0.002448695032291749,0.009835290908813476,0.0015668510690052438,0.01,3,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5524115479070517,0.5655032262550919,0.5718651524190508,0.6085339076554359,0.5733963183263255,0.5743420305125911,0.018628925289426425,31
0.09175467491149902,0.0034649365883211583,0.007882165908813476,0.0011995423103113609,0.01,3,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.552618335669608,0.566048560354577,0.5747299864215469,0.6111881379834425,0.5757440628799977,0.5760658166618343,0.019419553093474554,27
