model_id,model_family,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_1_AutoML_1_20260824_111955,StackedEnsemble,0.5522374728758879,0.5761696886697677,0.3119244722967024,0.498005787094945,0.4404814733816991,0.1940239283925125,3652,0.025469,StackedEnsemble
GLM_1_AutoML_1_20260824_111955,GLM,0.5519151800522191,0.5761400468012604,0.3076729140500209,0.484804567413263,0.4405115560254603,0.1940504309919722,79,0.001419,GLM
StackedEnsemble_BestOfFamily_1_AutoML_1_20260824_111955,StackedEnsemble,0.5510303456505988,0.5765136380413984,0.3099975620148456,0.498991010823702,0.4406295579064025,0.1941544073007917,2403,0.016608,StackedEnsemble
XGBoost_grid_1_AutoML_1_20260824_111955_model_4,XGBoost,0.5510013916453101,0.5774014228215097,0.3057652063252433,0.4991076143938004,0.4410443219005266,0.1945200938806953,267,0.002062,XGBoost
XGBoost_grid_1_AutoML_1_20260824_111955_model_6,XGBoost,0.547257615598287,0.5787578143300125,0.3053156528618507,0.4980759716037646,0.4415872919567741,0.1949993364177172,533,0.002718,XGBoost
GBM_grid_1_AutoML_1_20260824_111955_model_2,GBM,0.5389505030121431,0.5974669183697581,0.2977574624791476,0.4970001334200564,0.4489306701369675,0.2015387465896267,471,0.006054,GBM
GBM_grid_1_AutoML_1_20260824_111955_model_1,GBM,0.5388617416135303,0.5827157466518644,0.2954456209127927,0.5,0.4433542088118363,0.1965629544711694,182,0.004028,GBM
XGBoost_2_AutoML_1_20260824_111955,XGBoost,0.5374978458220065,0.6197304128508179,0.2947299612255962,0.4986738602313726,0.4562954010745126,0.2082054930417503,566,0.00365,XGBoost
GBM_1_AutoML_1_20260824_111955,GBM,0.5372608862427244,0.5813748667022263,0.2968170830377478,0.4981699215601253,0.4426929735969767,0.1959770688721335,423,0.004644,GBM
GBM_5_AutoML_1_20260824_111955,GBM,0.5362602821463581,0.5818995192217845,0.2915989914189087,0.4988539773074721,0.443095276900125,0.1963334244111985,204,0.00297,GBM
GBM_2_AutoML_1_20260824_111955,GBM,0.5334134780199722,0.5816955218922412,0.2934101241345335,0.4948733343339838,0.4429674221176293,0.1962201370575379,171,0.003015,GBM
GBM_4_AutoML_1_20260824_111955,GBM,0.5327486014057286,0.5863263550586032,0.2900936280016381,0.5,0.4448946772190415,0.1979312738178351,334,0.004274,GBM
GBM_3_AutoML_1_20260824_111955,GBM,0.5323852633841626,0.5871076522556096,0.2872842310400349,0.4980544298238299,0.445245669859908,0.1982437065289982,258,0.004146,GBM
DRF_1_AutoML_1_20260824_111955,DRF,0.5299124986796974,0.611200264406647,0.2885055772899672,0.4969967979186471,0.4544094801372438,0.2064879756386001,907,0.009522,DRF
XRT_1_AutoML_1_20260824_111955,XRT,0.5288282754160575,0.608224986157286,0.2882580008311938,0.4993126087512439,0.4528445011532832,0.2050681422247659,990,0.009451,DRF
XGBoost_1_AutoML_1_20260824_111955,XGBoost,0.5262917192471402,0.6151740689432482,0.2893194426938852,0.5,0.4551893880512229,0.2071973789944468,606,0.003618,XGBoost
XGBoost_3_AutoML_1_20260824_111955,XGBoost,0.5247402478277546,0.5934315230246231,0.2891659257578771,0.4998165474224912,0.4475005237831456,0.2002567187861897,339,0.001746,XGBoost
XGBoost_grid_1_AutoML_1_20260824_111955_model_3,XGBoost,0.5228333138762418,0.6278906634522774,0.2865998108206388,0.4995413685562282,0.4592870200751332,0.2109445668094957,431,0.003165,XGBoost
XGBoost_grid_1_AutoML_1_20260824_111955_model_1,XGBoost,0.5222519174500462,0.6811242154531346,0.27978740646979,0.4971145133225486,0.4731422384758607,0.2238635778299482,826,0.004499,XGBoost
GBM_grid_1_AutoML_1_20260824_111955_model_3,GBM,0.521729633521048,0.6004492722459808,0.2770682511362706,0.5,0.4506846964290329,0.2031166955953296,293,0.005269,GBM
XGBoost_grid_1_AutoML_1_20260824_111955_model_5,XGBoost,0.5208513311430207,0.6362742528181043,0.2792132402430169,0.4995198267762935,0.4620441207370517,0.2134847695076751,385,0.003119,XGBoost
XGBoost_grid_1_AutoML_1_20260824_111955_model_2,XGBoost,0.5176374365559836,0.6322014240408463,0.2765946370138566,0.4899969702528866,0.4617166749815187,0.2131822879559894,488,0.00306,XGBoost
