target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__preprocess__lipids__quadratic__include_pairwise,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.038123273849487306,0.00311960663704749,0.00570225715637207,0.0011571930585302461,False,{'regressor__preprocess__lipids__quadratic__include_pairwise': False},-58.852889439994286,-58.51390471796769,-58.70993683993548,-58.105690456103964,-57.00416132385171,-58.23731655557062,0.6658525627172283,2
identity,0.02571215629577637,0.011101588612015111,0.004218196868896485,0.0010696169565468738,True,{'regressor__preprocess__lipids__quadratic__include_pairwise': True},-58.39226075871649,-58.40284917792139,-58.58119998293094,-57.80790795719041,-56.84360269057782,-58.005564113467415,0.636859274329256,1
log1p,0.010498428344726562,0.001745286127454192,0.005401611328125,0.0012880938260618963,False,{'regressor__preprocess__lipids__quadratic__include_pairwise': False},-50.09484219112999,-48.378039178082105,-48.77190560657554,-49.49411493123379,-46.590082048442184,-48.66579679109272,1.194230875005328,1
log1p,0.010947370529174804,0.0024358632149629644,0.0034933090209960938,0.0002379045667638407,True,{'regressor__preprocess__lipids__quadratic__include_pairwise': True},-50.2751974462935,-49.25570834845959,-49.19685162738647,-49.2488093323605,-46.568329219495254,-48.908979194799066,1.238044488977936,2
