class_weight,fold,auroc,best_epoch
none,0,0.552941487114491,10
none,1,0.5305592975103528,8
none,2,0.5392648508156406,59
none,3,0.5132364782729,45
none,4,0.5766751956325062,109
balanced,0,0.572344305275976,4
balanced,1,0.5591727785261688,19
balanced,2,0.5550056117071716,42
balanced,3,0.5231339130542921,7
balanced,4,0.5830019679837337,9
