class_weight,fold,auroc,best_epoch
none,0,0.5781770192873027,48
none,1,0.5785276205896919,117
none,2,0.56860539532813,14
none,3,0.5786808830826737,11
none,4,0.5901932004210897,27
balanced,0,0.5811163553507936,17
balanced,1,0.5932823770362581,8
balanced,2,0.5707597701629172,7
balanced,3,0.5805279621204743,2
balanced,4,0.5923690819038079,17
