model_id,model_family,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_BestOfFamily_1_AutoML_3_20260824_114526,StackedEnsemble,0.6356760373950788,0.3576913978812943,0.2009782360826985,0.3991994023724721,0.3219499824940708,0.1036517912279325,2950,0.026866,StackedEnsemble
GLM_1_AutoML_3_20260824_114526,GLM,0.6342695238347336,0.3581948651828867,0.2003207927377896,0.4012552741264147,0.3221553102942635,0.1037840439507932,100,0.000833,GLM
StackedEnsemble_AllModels_1_AutoML_3_20260824_114526,StackedEnsemble,0.6335150035099957,0.3576565735932569,0.1985197297747441,0.3948027150035579,0.3219506721764861,0.1036522353148912,4990,0.045589,StackedEnsemble
GBM_5_AutoML_3_20260824_114526,GBM,0.5988047928539577,0.3659051418897066,0.1653700230005879,0.4219022056858696,0.3257878003372793,0.1061376908486029,533,0.00577,GBM
XGBoost_grid_1_AutoML_3_20260824_114526_model_4,XGBoost,0.5970857872661115,0.3640509150287546,0.1577874373210002,0.4290244846905856,0.3249322071851606,0.1055809392662201,441,0.00198,XGBoost
GBM_grid_1_AutoML_3_20260824_114526_model_2,GBM,0.5954849992448209,0.3703448750686525,0.1626382528625066,0.4274652584682764,0.3273694218646713,0.1071707383720091,415,0.004845,GBM
XGBoost_grid_1_AutoML_3_20260824_114526_model_6,XGBoost,0.594319172817194,0.3636848320577904,0.1627946971189089,0.4314087784987279,0.3245633337591487,0.1053413576208526,897,0.003498,XGBoost
GBM_grid_1_AutoML_3_20260824_114526_model_1,GBM,0.5899823128793787,0.3688352735516986,0.1576257287154544,0.4267073844537072,0.3272321778397549,0.107080898213749,349,0.007266,GBM
GBM_1_AutoML_3_20260824_114526,GBM,0.5899047588020284,0.3654533067690673,0.1581354891949025,0.4358382841181347,0.3252579080635017,0.1057927067578453,522,0.005825,GBM
GBM_2_AutoML_3_20260824_114526,GBM,0.587945245743419,0.3677010336986923,0.1567884463451733,0.428452021813836,0.3261901949157576,0.1064000432591799,368,0.005285,GBM
XGBoost_grid_1_AutoML_3_20260824_114526_model_3,XGBoost,0.5854757921684874,0.3916170785918801,0.1590336944081688,0.4332170760783341,0.3333135629871091,0.1110979312711615,582,0.004506,XGBoost
XGBoost_3_AutoML_3_20260824_114526,XGBoost,0.5854179410188964,0.3724711853097524,0.1569098950023389,0.4328537996048155,0.327938746814189,0.1075438216620607,553,0.002138,XGBoost
XGBoost_2_AutoML_3_20260824_114526,XGBoost,0.5840802379874124,0.3888690186940814,0.1596083291645834,0.4384592526086616,0.3327635727064831,0.1107315953203829,639,0.003831,XGBoost
GBM_4_AutoML_3_20260824_114526,GBM,0.580618092222398,0.3736674032957627,0.1538038871900277,0.436772765834716,0.3282224908515895,0.1077300035008217,400,0.008111,GBM
GBM_3_AutoML_3_20260824_114526,GBM,0.5803991441862648,0.3686679170034266,0.1556138307936649,0.4373997860585437,0.3265922364875641,0.106662488933949,407,0.007596,GBM
DRF_1_AutoML_3_20260824_114526,DRF,0.5795809636420497,0.4282468807803748,0.1603739002429472,0.4368861325284797,0.3320328863362142,0.1102458376087573,827,0.01024,DRF
XRT_1_AutoML_3_20260824_114526,XRT,0.5785523390609166,0.392792387773632,0.157189331358733,0.4473435961831656,0.3306163247303644,0.1093071541782137,1843,0.012118,DRF
XGBoost_grid_1_AutoML_3_20260824_114526_model_5,XGBoost,0.5749295156205889,0.3971285589586831,0.155144597295827,0.4477157359798098,0.3344316562849419,0.1118445327254895,554,0.003673,XGBoost
XGBoost_1_AutoML_3_20260824_114526,XGBoost,0.5655900883134329,0.3852114574097717,0.1484738336705802,0.4513570646015283,0.3318543324012879,0.1101272979335044,544,0.003591,XGBoost
XGBoost_grid_1_AutoML_3_20260824_114526_model_1,XGBoost,0.5630040940168616,0.425806489183158,0.1524206474989219,0.4472144192373398,0.3379858740602758,0.1142344510642886,951,0.004691,XGBoost
XGBoost_grid_1_AutoML_3_20260824_114526_model_2,XGBoost,0.560159206842773,0.4114256048588194,0.1431573587258836,0.448421927238585,0.3381804965687147,0.1143660482594624,894,0.004454,XGBoost
GBM_grid_1_AutoML_3_20260824_114526_model_3,GBM,0.5437207966977653,0.4043836182840445,0.1398258172778359,0.4672867918639005,0.3332814588851686,0.1110765308366263,510,0.008356,GBM
