model_id,model_family,auc,logloss,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_BestOfFamily_1_AutoML_3_20260824_112232,StackedEnsemble,0.5656192907590483,0.3580131347995238,0.1467906736590652,0.4436350939906123,0.3204191847910251,0.1026684539821451,1514,0.019066,StackedEnsemble
GLM_1_AutoML_3_20260824_112232,GLM,0.5653248521932429,0.3576858555858075,0.1476669618398788,0.4474978684331344,0.3203086332262975,0.1025976205192988,70,0.001177,GLM
StackedEnsemble_AllModels_1_AutoML_3_20260824_112232,StackedEnsemble,0.565267069282324,0.3576510457021097,0.1496111561874142,0.4510306928092105,0.3202641773639604,0.1025691433026143,4128,0.030638,StackedEnsemble
XGBoost_grid_1_AutoML_3_20260824_112232_model_4,XGBoost,0.5587826692653486,0.3595265279046896,0.1413369509841377,0.4634219267821249,0.3210339078029141,0.1030627699592099,311,0.001526,XGBoost
XGBoost_grid_1_AutoML_3_20260824_112232_model_6,XGBoost,0.5569182716403578,0.3599970102313005,0.1402810771774173,0.4644214220804022,0.3211565625915372,0.1031415376956119,566,0.002142,XGBoost
GBM_5_AutoML_3_20260824_112232,GBM,0.5557554234391336,0.3621036725429438,0.1438890241073004,0.4639068998933428,0.3222149939040106,0.1038225022965615,179,0.003493,GBM
GBM_3_AutoML_3_20260824_112232,GBM,0.5530226161787241,0.3653060256773637,0.1379031836060095,0.4609010486502298,0.3233359723702627,0.1045461510286232,344,0.004461,GBM
GBM_4_AutoML_3_20260824_112232,GBM,0.5509296297088688,0.3676201202810314,0.1422077175749992,0.4699041347311595,0.323827793032769,0.1048644395404738,302,0.004556,GBM
GBM_grid_1_AutoML_3_20260824_112232_model_1,GBM,0.5463246210615992,0.3648571199178769,0.1357831038684739,0.4619108905091875,0.3234940802746502,0.1046484199727418,684,0.002996,GBM
GBM_1_AutoML_3_20260824_112232,GBM,0.5461161115590724,0.3619684322077711,0.1386237651659302,0.4618874792235801,0.3216739476346823,0.1034741285868803,286,0.003759,GBM
GBM_2_AutoML_3_20260824_112232,GBM,0.542099629312543,0.3654362460608475,0.1344126478055088,0.4762407893689264,0.3232191217282668,0.1044706006507921,236,0.003862,GBM
XRT_1_AutoML_3_20260824_112232,XRT,0.5399890186164439,0.436659683794442,0.1317057845916544,0.4603022633715268,0.3315300014603648,0.1099121418683094,1072,0.009102,DRF
XGBoost_grid_1_AutoML_3_20260824_112232_model_5,XGBoost,0.5374919025010267,0.3958746415570679,0.1336843609106987,0.4666747802408048,0.3318153335369371,0.1101014155702288,479,0.002951,XGBoost
XGBoost_grid_1_AutoML_3_20260824_112232_model_1,XGBoost,0.5354972083576361,0.4210760379151896,0.1290563431043024,0.4667904337453603,0.3361730262715835,0.1130123035925948,911,0.004111,XGBoost
GBM_grid_1_AutoML_3_20260824_112232_model_2,GBM,0.5348997383196975,0.377195717497032,0.1342104061586794,0.4861511285291856,0.3269062567207808,0.106867700683193,448,0.005474,GBM
XGBoost_3_AutoML_3_20260824_112232,XGBoost,0.5328576955087859,0.3713228494592618,0.1331667173283112,0.4853668943026927,0.324951284641336,0.1055933373900545,278,0.00171,XGBoost
XGBoost_grid_1_AutoML_3_20260824_112232_model_3,XGBoost,0.5283898226318914,0.3926228569635418,0.1312078422274207,0.4980608966995874,0.3311493921864862,0.1096599199454792,411,0.00313,XGBoost
XGBoost_1_AutoML_3_20260824_112232,XGBoost,0.5280030541644205,0.3792102762722766,0.1278548426846572,0.4858782599119174,0.3274885561401127,0.1072487544027357,1091,0.002872,XGBoost
DRF_1_AutoML_3_20260824_112232,DRF,0.5275981353743999,0.4732217236236414,0.127554005626913,0.4742005002123676,0.3334234316212581,0.1111711847540957,1011,0.008948,DRF
XGBoost_2_AutoML_3_20260824_112232,XGBoost,0.5250768188289167,0.3910301552172164,0.1270041876390691,0.5,0.3317588972376584,0.1100639658963471,484,0.002985,XGBoost
XGBoost_grid_1_AutoML_3_20260824_112232_model_2,XGBoost,0.5232244337362413,0.4040909089931161,0.1271566171267956,0.4869970913888907,0.334002656294939,0.1115577744120751,640,0.003665,XGBoost
GBM_grid_1_AutoML_3_20260824_112232_model_3,GBM,0.5216517565128093,0.3808202790701216,0.1275282374203884,0.4974219527362093,0.3271285140719289,0.1070130647189082,332,0.005963,GBM
