mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__scale_pos_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.12677927017211915,0.005392533136232733,0.009081554412841798,0.0014408864288095178,0.01,2,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5695295879910157,0.5757517323147174,0.5644238884946969,0.5738583506082149,0.5764113230472427,0.5719949764911776,0.004483057176262588,29
0.12794060707092286,0.0054226097035535254,0.011316299438476562,0.002246380889777355,0.01,2,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5694104797621499,0.578654437526314,0.564575420510038,0.5769797709976767,0.5809990794459053,0.5741238376484168,0.006153692431954522,25
0.2336352825164795,0.007516489027291115,0.014299678802490234,0.0012595557940494198,0.01,2,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.571254599722162,0.5829529984438842,0.566744693480993,0.5776067680435558,0.5841386442580148,0.5765395407897219,0.006691598052838713,21
0.22761182785034179,0.007761613532714478,0.015390157699584961,0.003463606779790448,0.01,2,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5749900772122717,0.5828829825117822,0.5665184968766086,0.5773628328023337,0.5842231636453015,0.5771955106096595,0.006334442347500447,18
0.4893961906433105,0.027124241643657322,0.025302648544311523,0.004632925862033991,0.01,2,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.5765365715006409,0.5874100805322324,0.5681411183920679,0.5763687735065922,0.5860015489424063,0.5788916185747879,0.007079541681366695,7
0.5016294956207276,0.029935747479681977,0.025779247283935547,0.0033174392140912527,0.01,2,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.5769669260501926,0.5868911048235876,0.5680996123006432,0.5765777531987516,0.5857533819348795,0.578857755661611,0.006878890272188067,8
0.15819597244262695,0.007646187523464973,0.013287210464477539,0.0018784200488165422,0.01,3,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5756464186155208,0.584302891704364,0.56883060645269,0.5776578390862169,0.5866920224828527,0.5786259556683289,0.006372641424645352,11
0.17038912773132325,0.016250666445173017,0.012257003784179687,0.002800737268169495,0.01,3,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5757353875358658,0.5840451426563025,0.5679966586437014,0.5786998970463431,0.5865418237637445,0.5786037819291915,0.00653251718152586,12
0.3617814540863037,0.02191434765428813,0.021466970443725586,0.0036928290153470764,0.01,3,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5766628088351761,0.5858210434506819,0.570253523380219,0.5782277942410878,0.5884003807430286,0.5798731101300386,0.006536693398187139,2
0.342294979095459,0.009504719623468485,0.020270872116088866,0.0016343295103668145,0.01,3,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5766622292330891,0.584502622583523,0.569476791370443,0.5783102267299228,0.5870073180572367,0.5791918375948429,0.006178097625924594,5
0.6535239696502686,0.03511316260349527,0.03854537010192871,0.0032298912830834386,0.01,3,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.577751185634029,0.5867810963474868,0.5703644768145582,0.5776954032583441,0.5882520950141678,0.5801688514137172,0.006590135431819514,1
0.6249894142150879,0.03910765283222541,0.031599235534667966,0.0019265842098085263,0.01,3,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.5745063413105127,0.5870812143081034,0.5711739035667414,0.5778631667060858,0.5868991471541661,0.5795047546091219,0.006467794185314463,3
0.2548166275024414,0.016369031510602792,0.022065448760986327,0.0023643873501480923,0.01,5,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5752998165675316,0.5848669024951638,0.5715094304622248,0.5772849219268102,0.5849474913161836,0.5787817125535828,0.005334724604491184,10
0.22446093559265137,0.009157110429289704,0.018224334716796874,0.0016828367704668288,0.01,5,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5749884543264282,0.5826290588374945,0.5721089500118257,0.5772002866007206,0.5827501031855347,0.5779353705924007,0.004204383427346834,16
0.39710512161254885,0.007000182752712518,0.028719997406005858,0.0009851304581176596,0.01,5,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5755686939756623,0.585038001031228,0.5706971632093716,0.5756403300082085,0.5848331756565615,0.5783554727762064,0.005664003182212555,13
0.5296398162841797,0.2703707239393769,0.02965655326843262,0.002205402603966074,0.01,5,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5748170659893205,0.5843909332613699,0.5698680268607018,0.5771989533044877,0.5802400281035658,0.5773030015038891,0.0049058016918979465,17
1.273043441772461,0.3300099605209028,0.06718401908874512,0.004137526796574646,0.01,5,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.5734952834300573,0.5812977128437967,0.5710054444861824,0.5743210623704385,0.584503155854214,0.5769245317969378,0.0051016398751567394,19
1.1022750854492187,0.3299667147372252,0.06732716560363769,0.003907730448428783,0.01,5,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 5, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.5709374414601892,0.5800468735799749,0.5695821217728434,0.5730663146764612,0.5783759060617444,0.5744017315102425,0.004115215038000916,24
0.9619542121887207,0.3507668996540769,0.0502044677734375,0.00471109431827137,0.01,10,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5597217353564692,0.5650191245504605,0.5627430077307993,0.557731205160668,0.5732544253841052,0.5636938996365004,0.005392511169004682,35
0.7541577816009521,0.036316476500672934,0.0579315185546875,0.008586820821594435,0.01,10,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5538844468184946,0.562846254286737,0.5489536523041677,0.5499893915995381,0.5590590522698499,0.5549465594557574,0.005309130024874314,38
1.3064311027526856,0.07705393130734446,0.11009597778320312,0.013776571727128532,0.01,10,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5589203195508594,0.5663695394528184,0.5616504584220264,0.5612874540302647,0.5752321094833304,0.5646919761878598,0.005797624516491086,33
1.353804636001587,0.04344883801683247,0.12296905517578124,0.013116001829703376,0.01,10,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5503777382720996,0.5618581486489244,0.5513589766777505,0.5500249268426154,0.5561001780820012,0.5539439937046782,0.0045175780117175475,39
2.4452849864959716,0.06264060332429285,0.25148258209228513,0.032579099949848575,0.01,10,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.5535946457750254,0.5589680208026144,0.5569888490059407,0.5522899652647347,0.5657962561041779,0.5575275473904987,0.0047673196879027884,37
2.5458189487457275,0.057848120674072454,0.2535560131072998,0.01646219609445391,0.01,10,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 10, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.543314417439624,0.5532861235841481,0.551264544522819,0.5414724691718723,0.5494957821463519,0.5477666673729631,0.004585386347643046,42
