mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__kernel,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.14472017288208008,0.02534741297256202,0.02682023048400879,0.0016500052511880122,1.0,,linear,,"{'model__C': 1.0, 'model__class_weight': None, 'model__kernel': 'linear'}",0.5048589727429337,0.5696478746936092,0.48575955042745256,0.5898786393256412,0.5922777070369748,0.5484845488453223,0.04453496179147291,9
1.1452430725097655,0.04778697461372329,0.08091654777526855,0.002510530949036283,1.0,balanced,linear,,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__kernel': 'linear'}",0.6255229623227031,0.6666885873139236,0.6340019130746697,0.6356937884856819,0.6328292050068471,0.6389472912407651,0.014298707209168498,1
0.35763325691223147,0.012611877113353829,0.027616119384765624,0.0012603996017172283,10.0,,linear,,"{'model__C': 10.0, 'model__class_weight': None, 'model__kernel': 'linear'}",0.5216417865653455,0.5308423506905005,0.5612363245052909,0.5509684940515335,0.5252024121279101,0.5379782735881161,0.015431834628781685,12
2.3451204776763914,0.06554322115704872,0.08851714134216308,0.004100534512027311,10.0,balanced,linear,,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__kernel': 'linear'}",0.6252918684986104,0.6669067973934357,0.6338733783702994,0.63588210677348,0.6326099752540663,0.6389128252579784,0.01444645379737994,3
1944.1574782371522,307.7594117856818,0.03681478500366211,0.005897022902591078,100.0,,linear,,"{'model__C': 100.0, 'model__class_weight': None, 'model__kernel': 'linear'}",0.602905779746577,0.6301757637352783,0.6039337597895618,0.6224367788605248,0.6290632582946928,0.6177030680853269,0.011963140634435793,6
9.08543963432312,0.49091440486861176,0.09564127922058105,0.00142634299106774,100.0,balanced,linear,,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__kernel': 'linear'}",0.6253518928685047,0.6668500029891791,0.6338853350869851,0.6359687929694505,0.6325769406337842,0.6389265929095806,0.014411594336657192,2
1.099477767944336,0.07675589096946485,0.09701714515686036,0.006549708898250699,1.0,,rbf,scale,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.5159394714253988,0.5463173312608358,0.5412118132360855,0.5564117893226521,0.5568105374432406,0.5433381885376425,0.014943290703221698,11
1.1737161159515381,0.32825326075283523,0.20904645919799805,0.009423819924290994,1.0,balanced,rbf,scale,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.6126447337619072,0.6330932026065643,0.6448317092126502,0.6487505231063551,0.634913389231915,0.6348467115838783,0.012562031773154396,4
4.143642473220825,0.3075265740373192,0.08381547927856445,0.00422172095595047,10.0,,rbf,scale,"{'model__C': 10.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.5319539733131651,0.5538410952352484,0.5595862976026783,0.5418784001913075,0.5663665521466497,0.5507252636978098,0.012357221119491833,8
1.1498339176177979,0.05237185557155075,0.19546151161193848,0.0031613319692361625,10.0,balanced,rbf,scale,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.6003457403705905,0.6130836372332158,0.6387995456447658,0.640676750164405,0.636826394060976,0.6259464134947905,0.016256723403890193,5
11.681007575988769,1.3081870122876822,0.08130221366882324,0.0038106416374565338,100.0,,rbf,scale,"{'model__C': 100.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.5155643191135602,0.5493662940156634,0.556337059843367,0.5344024630836371,0.5654295701895586,0.5442199412491573,0.017553833923798914,10
2.5129600048065184,0.29778293288501223,0.19766635894775392,0.005163418513799196,100.0,balanced,rbf,scale,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.5667230895743672,0.6083966042924612,0.6201620135110898,0.6180068153285108,0.6270541527520842,0.6080685350917026,0.0215175686671108,7
