target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__preprocess__lipids__quadratic__include_pairwise,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.040486907958984374,0.0037706417905692628,0.005685091018676758,0.001490535364301425,False,{'regressor__preprocess__lipids__quadratic__include_pairwise': False},-26.0020187096656,-24.553241545176636,-25.25833196337912,-26.614259439971438,-25.730116770133733,-25.6315936856653,0.6949418872805659,1
identity,0.029548788070678712,0.012925876209235314,0.00572657585144043,0.0015173601011625115,True,{'regressor__preprocess__lipids__quadratic__include_pairwise': True},-26.001854958001672,-24.580512217923562,-25.256096414556282,-26.63433310230934,-25.699143554894867,-25.634388049537147,0.6917910294893851,2
log1p,0.014229774475097656,0.0008228999349510251,0.004491758346557617,0.0012282592369515157,False,{'regressor__preprocess__lipids__quadratic__include_pairwise': False},-21.856516294584686,-19.987099273354353,-20.627692300745263,-23.02680546129838,-22.05246900097649,-21.510116466191835,1.0782150433394893,1
log1p,0.012852191925048828,0.0017767620854750713,0.003931379318237305,0.000809929390949007,True,{'regressor__preprocess__lipids__quadratic__include_pairwise': True},-21.86509942071927,-20.02704416358501,-20.687037546878607,-23.042121216346672,-22.042879929714505,-21.532836455448813,1.061251123267706,2
