class_weight,fold,auroc,best_epoch
none,0,0.6007861594937542,55
none,1,0.6066384361721205,96
none,2,0.6310265822923796,70
none,3,0.6254849952870515,30
none,4,0.620776074248795,87
balanced,0,0.5234402163768588,4
balanced,1,0.6023215128812306,153
balanced,2,0.622718472186131,67
balanced,3,0.6302892800514405,24
balanced,4,0.6167920506321697,52
