mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__scale_pos_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0333249568939209,0.004750068855267719,0.005931425094604492,0.0007225338886477994,0.01,2,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5657959318074506,0.5406142418799581,0.5495260361449904,0.5152775230142174,0.5655497141293772,0.5473526893951988,0.018709523292866157,8
0.035575485229492186,0.0021655797148604967,0.006151771545410157,0.0005960790739666772,0.01,2,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5628339421953827,0.5392858479269571,0.5466797658316984,0.5178875109202888,0.5687690619277537,0.5470912257604161,0.018064948848580557,9
0.05584187507629394,0.00337507417688071,0.0070134162902832035,0.0008565431407541663,0.01,2,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5561302467755163,0.5474682557501371,0.5475751517959018,0.5169159549695476,0.5657704516413855,0.5467720121864976,0.016377003371911752,12
0.05422906875610352,0.003371039005607339,0.005750083923339843,0.001392344535070462,0.01,2,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5613319789259177,0.5407436511500274,0.5442236723882244,0.5167993682554587,0.5712189374131429,0.5468635216265543,0.01871254911193259,10
0.11795258522033691,0.00516197574165114,0.008864259719848633,0.0019299744179822238,0.01,2,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.5664001341981659,0.5462723893628698,0.5399690345687379,0.5204695180149791,0.5652434796937034,0.5476709111676913,0.017092510147776054,7
0.11874570846557617,0.00814546756561786,0.00901479721069336,0.0018373974724696022,0.01,2,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 2, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.5723536245930565,0.5451155016714064,0.5433858025363051,0.5282730554113334,0.5698354417392872,0.5517926851902777,0.016832865077891664,2
0.04117574691772461,0.002881736906325654,0.006688690185546875,0.0009154622432292422,0.01,3,100,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 1.0}",0.5555524491165289,0.5510589732076037,0.5566082904035143,0.5261200874244907,0.5575596379904804,0.5493798876285236,0.011841421130067425,3
0.04669594764709473,0.0034979117631440304,0.0076793193817138675,0.003298820882817074,0.01,3,100,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__scale_pos_weight': 'balanced'}",0.5590052560948334,0.5471922865838448,0.5495167092078632,0.5128058846755315,0.5580524111686962,0.5453145095461538,0.01689784541522822,13
0.07145485877990723,0.003935951494978193,0.006680583953857422,0.0008910768211389932,0.01,3,200,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 1.0}",0.5611828698526304,0.5563803447587686,0.5585700561792513,0.5145842206877683,0.5699395925372067,0.552131416803125,0.01933060437335805,1
0.06643681526184082,0.004513385833018788,0.007285165786743164,0.0006314062308733213,0.01,3,200,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__scale_pos_weight': 'balanced'}",0.5614344914138025,0.5474822880806266,0.5510121281272443,0.5179108282631066,0.5563176008630526,0.5468314673495666,0.015215386279602642,11
0.1513822078704834,0.007185854783197519,0.010359859466552735,0.0022011967011316544,0.01,3,500,1.0,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 500, 'model__scale_pos_weight': 1.0}",0.569317080444345,0.5584306241580602,0.5450117985754659,0.5052401841759184,0.5669409822508387,0.5489881339209257,0.023470942893111548,4
0.14705195426940917,0.005876190923564581,0.010319709777832031,0.0012252670982241523,0.01,3,500,balanced,"{'model__learning_rate': 0.01, 'model__max_depth': 3, 'model__n_estimators': 500, 'model__scale_pos_weight': 'balanced'}",0.5629644126345088,0.5600100409120391,0.5450817506039192,0.5189305733890048,0.5568601177059465,0.5487693790490837,0.01610754131698467,5
