target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.02357182502746582,0.0011470941062002088,0.0026443958282470702,0.0002529809919569315,{},-58.9901752303469,-58.64733223137183,-58.8870450502555,-58.090232948445646,-57.06946375022809,-58.336849842129595,0.7061211712106161,1
log1p,0.015406656265258788,0.007153144034168224,0.0028124332427978517,0.0005261279412440777,{},-50.14775527321282,-48.46538065772175,-48.84098451066302,-49.48564613344412,-46.563038952129894,-48.70056110543432,1.2128280168306438,1
