target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.031136608123779295,0.0022023174248870223,0.003628110885620117,0.0009458464223901077,{},-25.668407972703402,-25.78861780766884,-26.261721129443412,-25.8892273534816,-25.79448022656369,-25.880490897972187,0.20309135016098767,1
log1p,0.021193265914916992,0.005523890827150509,0.0027859687805175783,0.00029426282848357753,{},-21.25106753719532,-21.446495596588576,-22.12491532082715,-21.62671932360836,-21.44427323242754,-21.57869420212939,0.29784177772194587,1
