class_weight,fold,auroc,best_epoch
none,0,0.5349531057597052,45
none,1,0.5418728570104716,41
none,2,0.5438768418126216,41
none,3,0.5380502270410528,16
none,4,0.5405117690668149,59
balanced,0,0.5362446647964522,7
balanced,1,0.5363636363636364,22
balanced,2,0.5491937725882681,12
balanced,3,0.5254784079325363,2
balanced,4,0.563112779167825,11
