mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_features,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2637434959411621,0.008733447026023362,0.017872047424316407,0.0018671608958543816,,1.0,50,"{'model__class_weight': None, 'model__max_features': 1, 'model__n_estimators': 50}",0.5325197569522105,0.5026131317667015,0.5440480150723304,0.4877257507407143,0.5364807600831963,0.5206774829230307,0.02167165075687096,22
0.5075713157653808,0.008240628019516529,0.03456430435180664,0.0029454826604018046,,1.0,100,"{'model__class_weight': None, 'model__max_features': 1, 'model__n_estimators': 100}",0.5413420437883646,0.5109296263034476,0.5406545644475811,0.48596606860273156,0.5287518381838587,0.5215288282651966,0.020916893283692787,20
2.576155185699463,0.05515973577397607,0.15360169410705565,0.00633013596101537,,1.0,500,"{'model__class_weight': None, 'model__max_features': 1, 'model__n_estimators': 500}",0.540093255299585,0.5140011475328045,0.5514162954027526,0.48897400582622674,0.535243386424332,0.5259456180971401,0.02211302795936283,7
5.871501731872558,0.5333838024258208,0.4847450256347656,0.31205407833140336,,1.0,1000,"{'model__class_weight': None, 'model__max_features': 1, 'model__n_estimators': 1000}",0.5423361042769452,0.5157395973656639,0.5562973924992771,0.49133993887747207,0.5382155703888399,0.5287857206816395,0.022811466221103256,4
0.8169845581054688,0.06623126562581644,0.01920452117919922,0.00266587559792879,,5.0,50,"{'model__class_weight': None, 'model__max_features': 5, 'model__n_estimators': 50}",0.5428113894480479,0.5078783739959088,0.5312203675435023,0.502379923456936,0.5263175075936812,0.5221215124076153,0.014973736196729079,19
1.8235604286193847,0.368341627449344,0.035833883285522464,0.007823472052071814,,5.0,100,"{'model__class_weight': None, 'model__max_features': 5, 'model__n_estimators': 100}",0.5440322199855862,0.5117918350546325,0.5294404770417441,0.49042589903901457,0.5366160006715395,0.5224612863585033,0.019258626374983493,17
7.599678707122803,0.48571841163450946,0.1452162265777588,0.015561651297201906,,5.0,500,"{'model__class_weight': None, 'model__max_features': 5, 'model__n_estimators': 500}",0.5453244986207411,0.5170664321708328,0.5403794198023312,0.48823095983509973,0.5263625877897956,0.52347277964376,0.020271705632191977,14
14.619245290756226,0.3944263223585877,0.2680844783782959,0.0026402672916214865,,5.0,1000,"{'model__class_weight': None, 'model__max_features': 5, 'model__n_estimators': 1000}",0.5418468401302219,0.5139418999151824,0.5410696131497377,0.4906652904252773,0.5254267850980416,0.5225900857436921,0.019049126279848155,16
0.8678462982177735,0.07260046373664067,0.020470142364501953,0.006249715732057693,,1.0,50,"{'model__class_weight': None, 'model__max_features': 1.0, 'model__n_estimators': 50}",0.5386270160789284,0.514549967569725,0.5455278890964995,0.4966034403962083,0.5058448805996598,0.5202306387482041,0.018845912758949528,23
1.7072205543518066,0.04678280289799181,0.030874204635620118,0.003603394079221057,,1.0,100,"{'model__class_weight': None, 'model__max_features': 1.0, 'model__n_estimators': 100}",0.5378100226148762,0.5149397545277653,0.5424764261664112,0.4959210194964076,0.5200280429909622,0.5222350531592845,0.016750005960437124,18
