class_weight,fold,auroc,best_epoch
none,0,0.6188362475164918,65
none,1,0.6617175823518862,66
none,2,0.6460154241645243,89
none,3,0.6644437137562026,79
none,4,0.6306098791533528,38
balanced,0,0.6257660610207745,55
balanced,1,0.6389310695283075,38
balanced,2,0.6492198242362647,100
balanced,3,0.6601781550786154,117
balanced,4,0.633243639334022,29
