mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,param_model__kernel,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.249756383895874,0.06786148268592299,0.04584259986877441,0.01556108613585117,1.0,,linear,,"{'model__C': 1.0, 'model__class_weight': None, 'model__kernel': 'linear'}",0.4769983629662701,0.43539703014320996,0.4589597350714887,0.5045030838239417,0.5620444350995235,0.48758052942088687,0.043555701829653286,9
1.5934637069702149,0.3909690960727356,0.10471887588500976,0.034015890237346094,1.0,balanced,linear,,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__kernel': 'linear'}",0.5975785907503218,0.5532271768750907,0.5646814550042052,0.5355472035323802,0.5436028174936922,0.558927448731138,0.02163789571528709,1
0.42960519790649415,0.11598629917203282,0.031157732009887695,0.009214639933273556,10.0,,linear,,"{'model__C': 10.0, 'model__class_weight': None, 'model__kernel': 'linear'}",0.5806479852229255,0.5025115672972366,0.5000000000000001,0.4976433277263807,0.4721798780487805,0.5105965516590647,0.03668374039019358,7
4.686899900436401,2.2670085239157736,0.16093974113464354,0.02838481121558321,10.0,balanced,linear,,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__kernel': 'linear'}",0.5973947527378732,0.5530290690251773,0.5646770745724699,0.5355603448275863,0.5434363610877488,0.558819520450171,0.021603331486893272,3
1721.879274225235,200.79476837553776,0.045068788528442386,0.01526586233005549,100.0,,linear,,"{'model__C': 100.0, 'model__class_weight': None, 'model__kernel': 'linear'}",0.5417180975391969,0.5104799052604237,0.5525739416876927,0.543861262966078,0.5034649215026632,0.5304196257912109,0.019612727116598838,5
10.958834981918335,2.1654578583323154,0.13602514266967775,0.0233856827771378,100.0,balanced,linear,,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__kernel': 'linear'}",0.5976004762279942,0.5531171169584721,0.5647208788898235,0.5354026492851135,0.5435765349032801,0.5588835312529368,0.021688632712488578,2
1.7354090690612793,1.1958917528828235,0.10399975776672363,0.03223363370122873,1.0,,rbf,scale,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.44434960737453055,0.5058705959524364,0.48717847631062516,0.5209647462853939,0.45820192038127283,0.48331306926085177,0.02860123537570226,11
1.2542365074157715,0.2947251876012071,0.267516565322876,0.07561268007001745,1.0,balanced,rbf,scale,"{'model__C': 1.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.5675867321480159,0.5424236954598084,0.5706738856181665,0.5625394238856182,0.5327218250630782,0.5551891124349375,0.014934799134282238,4
6.719784879684449,1.3266019624339307,0.1155576229095459,0.028766535849913604,10.0,,rbf,scale,"{'model__C': 10.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.46183172693927227,0.5098151433640474,0.48887808382394166,0.5117833613680964,0.44787724278104846,0.4840371116552813,0.02552806898623345,10
1.2317278861999512,0.082925151877108,0.20731959342956544,0.02211725850709073,10.0,balanced,rbf,scale,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.5461477182200979,0.5008430589612985,0.5392574292122231,0.5425033291281188,0.50709629941127,0.5271695669866017,0.019169934766695977,6
17.392145967483522,3.6015873837756334,0.07918367385864258,0.0062575381432388695,100.0,,rbf,scale,"{'model__C': 100.0, 'model__class_weight': None, 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.4735535887806287,0.5017103311042531,0.48100206756377917,0.4890489206616204,0.44679089571068126,0.4784211607641925,0.01836389250591736,12
2.9288479804992678,1.217489444531201,0.781562089920044,1.1578831889444983,100.0,balanced,rbf,scale,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale', 'model__kernel': 'rbf'}",0.5185107370153461,0.48715160533394386,0.5214991589571067,0.517767031118587,0.47010793383795907,0.5030072932525885,0.02065878223360872,8
