mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_features,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2468451023101808,0.019318680295613195,0.08300838470458985,0.00387216546529819,,1.0,50,"{'model__class_weight': None, 'model__max_features': 1, 'model__n_estimators': 50}",0.5620089139774902,0.5528948373781244,0.5717173540455189,0.5736274154918429,0.5560383079426121,0.5632573657671177,0.008248208960995493,7
2.4041663646697997,0.035613870238843846,0.17823314666748047,0.01634866351199594,,1.0,100,"{'model__class_weight': None, 'model__max_features': 1, 'model__n_estimators': 100}",0.5658403903132572,0.556985842582647,0.5694477420811309,0.5728657425066883,0.5536031113688674,0.5637485657705181,0.007329992116057985,6
11.770672082901001,0.08838981497607169,1.0079231262207031,0.11742202109473787,,1.0,500,"{'model__class_weight': None, 'model__max_features': 1, 'model__n_estimators': 500}",0.570519369074861,0.5622472005583317,0.5716489956587965,0.5712487382485203,0.5585756771940205,0.5668479961469061,0.005394324562729393,4
25.065065145492554,0.23641165680464454,1.7623772144317627,0.009728300008919234,,1.0,1000,"{'model__class_weight': None, 'model__max_features': 1, 'model__n_estimators': 1000}",0.5725254680438154,0.5616287418857704,0.5697285547658526,0.571163351082187,0.5597729625795002,0.5669638156714252,0.005222704998864865,3
4.0278177738189695,0.25110316707350067,0.08673233985900879,0.005053798806796062,,5.0,50,"{'model__class_weight': None, 'model__max_features': 5, 'model__n_estimators': 50}",0.5580854147532393,0.5453370421395103,0.5644167918687416,0.5522370788863892,0.5381738207002493,0.551650029669626,0.009232670737633463,24
8.00839285850525,0.3134176172187417,0.1595174789428711,0.005619202618692602,,5.0,100,"{'model__class_weight': None, 'model__max_features': 5, 'model__n_estimators': 100}",0.5604351198908243,0.5472216871111527,0.5671605337111452,0.5608936184567319,0.5444554131408984,0.5560332744621505,0.008700643996122895,23
40.201908826828,0.5878045541688073,1.0927606582641602,0.08758343899458684,,5.0,500,"{'model__class_weight': None, 'model__max_features': 5, 'model__n_estimators': 500}",0.5702260309157988,0.5570245165190408,0.5628576043718229,0.5682835411817518,0.5479491510910095,0.5612681688158848,0.008091846095810009,11
81.80609993934631,1.2302090114673905,2.0075263023376464,0.37494195435038913,,5.0,1000,"{'model__class_weight': None, 'model__max_features': 5, 'model__n_estimators': 1000}",0.5703980772324186,0.5571209986664384,0.5631153065699301,0.5680593289168787,0.5483931157022863,0.5614173654175905,0.007946593180611241,9
5.270626592636108,0.36260719770859107,0.08252782821655273,0.005616792110563536,,1.0,50,"{'model__class_weight': None, 'model__max_features': 1.0, 'model__n_estimators': 50}",0.5653313051002248,0.5441529062044345,0.5654820636675255,0.5580664355942363,0.5479309059699982,0.5561927233072839,0.00879239604241872,21
9.393954133987426,0.13645975430321866,0.17194042205810547,0.022938670232773236,,1.0,100,"{'model__class_weight': None, 'model__max_features': 1.0, 'model__n_estimators': 100}",0.5710535882926779,0.5544515241260501,0.5665534171733134,0.5624647260993779,0.5446655158455226,0.5598377543073884,0.00934884309441899,16
46.63720831871033,0.5894559325419806,0.8165573120117188,0.0683085464931353,,1.0,500,"{'model__class_weight': None, 'model__max_features': 1.0, 'model__n_estimators': 500}",0.5686692630904383,0.5563701405428686,0.5628356291371825,0.5658815912729613,0.550187705804965,0.5607888659696831,0.006695304033348633,12
95.1337378025055,1.4918194882909321,1.596077823638916,0.09702212727067866,,1.0,1000,"{'model__class_weight': None, 'model__max_features': 1.0, 'model__n_estimators': 1000}",0.5698537233352532,0.5578232103291355,0.5639482571611695,0.566892208798138,0.5498353722458788,0.561670554373915,0.007131499861397623,8
1.3281569957733155,0.07761826209230951,0.09361991882324219,0.0028938696496652516,balanced,1.0,50,"{'model__class_weight': 'balanced', 'model__max_features': 1, 'model__n_estimators': 50}",0.5760089600294732,0.5540261919031534,0.5531734995861195,0.5590015588631392,0.5553462096855807,0.5595112840134931,0.008485690599131625,17
2.715174674987793,0.1586941894029432,0.20992431640625,0.034168102406560284,balanced,1.0,100,"{'model__class_weight': 'balanced', 'model__max_features': 1, 'model__n_estimators': 100}",0.5766181758744687,0.5627113688724918,0.5589997748957514,0.5613803171958887,0.5606219688772293,0.564066321143166,0.006389569992814479,5
