target_transform,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__preprocess__lipids__quadratic__include_pairwise,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
identity,0.06022167205810547,0.0026978371483473915,0.006638908386230468,0.001670573042995766,False,{'regressor__preprocess__lipids__quadratic__include_pairwise': False},-25.67111078754281,-25.79068954382121,-26.241705700330133,-25.85006198403752,-25.77719597185664,-25.866152797517664,0.19644251181172467,2
identity,0.05316882133483887,0.014842942901114023,0.0075191020965576175,0.001642443497850144,True,{'regressor__preprocess__lipids__quadratic__include_pairwise': True},-25.682072093435732,-25.784345901646724,-26.246150351668884,-25.831361358554563,-25.78381590774253,-25.865549122609686,0.19645060474034776,1
log1p,0.027707433700561522,0.005760563956474819,0.009597206115722656,0.002800447423990226,False,{'regressor__preprocess__lipids__quadratic__include_pairwise': False},-21.27268413661944,-21.44684261784312,-22.119196579253423,-21.621131504509872,-21.696246338388427,-21.63122023532286,0.2846029967186303,2
log1p,0.03564233779907226,0.003272728632073968,0.00688786506652832,0.0012968845739382868,True,{'regressor__preprocess__lipids__quadratic__include_pairwise': True},-21.265611161148843,-21.44746668397852,-22.120983074625617,-21.617757899661914,-21.637630013347053,-21.617889766552388,0.2851795274066853,1
