class_weight,fold,auroc,best_epoch
none,0,0.5935039317606291,109
none,1,0.6462721578035452,55
none,2,0.6554338264694122,49
none,3,0.6887831534053046,130
none,4,0.6396119103379057,83
balanced,0,0.5927575636412101,125
balanced,1,0.6492602958816474,106
balanced,2,0.660042649606824,52
balanced,3,0.673975743036119,86
balanced,4,0.636665105386417,64
